City,ID,Country,Region,Remapped Category,Title - value,Establishment,Description,Address,Source_ID,Coordinates,Google_place_id
Dublin,A0097,Ireland,Western Europe,Restaurants,Library Street,Library Street,Elevated sharing plates in a communal dining format.,101 Setanta Pl Dublin 2,[6][7],,
Edinburgh,A0110,UK,Western Europe,Restaurants,The Palmerston,The Palmerston,Inventive cooking and pastries in a grand former bank.,1 Palmerston Pl Edinburgh EH12 5AF,[8][9],,ChIJq5r4b5bHh0gRA5X1E9lF9sU
Edinburgh,A0111,UK,Western Europe,Restaurants,Elegant dining experience in Leith.,Eleanore,High-impact elegant flavors in Leith.,30-31 Albert Pl Edinburgh EH7 5HN,[8][9],,
Miami,A0184,USA,Americas,Restaurants,Daniel's Miami,Daniel's Miami,High-end steakhouse in Coral Gables.,1500 San Ignacio Ave Coral Gables FL 33146,[21],,ChIJF9oQfN2_2YgRz5y-f3dY1u4
Dakar,A0088,Senegal,Emerging & Eastern,Hotel,Boma Lifestyle Hotel,Boma Lifestyle Hotel,Peaceful escape with boutique and pool.,NGA 100 Route de l'Aeroport Dakar,[26],,ChIJq7U-z-W3uQ0RNW5gYt7XvC8
Dublin,A0089,Ireland,Western Europe,Museum,See Francis Bacon's Studio Archives,Hugh Lane Gallery,New Francis Bacon studio archives display for 2025.,Charlemont House Parnell Square N Dublin 1,,,
Marrakech,A0175,Morocco,Emerging & Eastern,Hotel,Kitula,Kitula,Lush riad resembling a greenhouse.,41 Derb Fhal Zefriti Marrakech,[25],,
Prague,A0264,Czech Republic,Central Europe,Restaurants,Savor modern Czech cuisine.,Výčep,Modern Czech pub food in Vinohrady.,Korunní 92 101 00 Praha 10,[17],,
Toronto,A0292,Canada,Americas,Museum,See KAWS art exhibition.,AGO (Art Gallery of Ontario),Hosting 'KAWS: FAMILY' exhibition in 2025; contemporary pop art.,317 Dundas St W Toronto ON M5T 1G4,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Toronto,A0297,Canada,Americas,Attraction,See Kandinsky blockbuster in 2025.,Othership,Social bathhouse with guided sauna sessions and ice baths.,425 Adelaide St W Toronto ON M5V 3C1[15],,"43.64556 N, 79.39700 W",
Toronto,A0300,Canada,Americas,Restaurants,Dine on Michelin Italian cuisine.,Osteria Giulia,Michelin-starred Italian by Rob Rossi.,134 Avenue Rd Toronto ON M5R 2H6,[22],"43.67389 N, 79.39861 W",ChIJq55mJt9WVkYRW17rYl5YhBw
Vienna,A0308,Austria,Central Europe,Attraction,Thermalbad Vöslau,Thermalbad Vöslau,Day trip to historic mineral baths; 'Sommerfrische' atmosphere.,Maital 2 2540 Bad Vöslau,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Vienna,A0312,Austria,Central Europe,Restaurants,Mraz und Sohn,Mraz und Sohn,Family-run avant-garde fine dining.,Wallensteinstraße 59 1200 Wien,[5],"48.2323 N, 16.3765 E",ChIJ9X08r-5Za0YREv960u7rKj0
Dakar,A0085,Senegal,Emerging & Eastern,Hotel,Relax at Terrou-Bi private beach.,Terrou-Bi,Luxury resort feeling near the city; renovated rooms and private beach.,Boulevard Martin Luther King Dakar[19],,,"=AI(""find the google_place_id of Terrou-Bi, Dakar."")"
Dakar,A0086,Senegal,Emerging & Eastern,Restaurants,Dinner and dancing at Seven Seven.,Seven Seven,Trendy steakhouse with lively DJ atmosphere.,Almadies Dakar,[26],,ChIJA2n_m_3NRA0RzV4y2Jp8X1U
Toronto,A0302,Canada,Americas,Restaurants,Aburi Hana,Aburi Hana,Kyoto-style Kaiseki dining in Yorkville.,102 Yorkville Ave Toronto ON M5R 1B9,[22],,
Toronto,A0303,Canada,Americas,Bar,Civil Liberties,Civil Liberties,Renowned bar with no menu bespoke cocktails.,232 Ossington Ave Toronto ON M6J 2Z9,,"43.6702 N, 79.3871 W",ChIJA2nQW9k0K4gRz-yS364iB8c
Edinburgh,A0114,UK,Western Europe,Restaurants,The Fishmarket,The Fishmarket,High-quality fish and chips at Newhaven harbour.,23A Pier Pl Edinburgh EH6 4LP,[8],,ChIJ9e5tFv8adkgR6YqN8Wc3tS4
Istanbul,A0126,Turkey,Emerging & Eastern,Bar,Listen to records at bar.,The Listening Room,Audiophile bar above Arkestra.,Dilhayat Sk. No:28 Etiler 34337,[24],,ChIJq55mJt9WVkYRW17rYl5YhBw
London,A0151,UK,Western Europe,Bar,Sip cocktails at a Bauhaus bar.,Bar with Shapes for a Name,Bauhaus-inspired cocktail bar in Dalston.,232 Kingsland Rd London E2 8AX,[2],"51.53759 N, 0.07663 W",ChIJ9e5-9c_JbEcR49p4UvXl9gM
London,A0152,UK,Western Europe,Bar,Kandinsky blockbuster at H'ART Museum,Soma,Indian-accented speakeasy in Soho.,14 Denman St London W1D 7HJ,[2],,ChIJF96lT6EadkgRj1gT35323xU
Miami,A0180,USA,Americas,Attraction,Superblue Miami,Superblue Miami,Immersive light and space art experience; 'Massless Clouds' installation.,1101 NW 23rd St Miami FL 33127,,,"=AI(""find the google_place_id of Superblue Miami, Miami."")"
Miami,A0181,USA,Americas,Attraction,Listen to vinyl at Dante's HiFi.,Dante's HiFi,Vinyl listening bar inspired by Japanese jazz kissaten; reservation only.,519 NW 26th St Miami FL 33127[13],,,ChIJL6-...
Barcelona,A0038,Spain,Southern Europe,Restaurants,Lluritu,Lluritu,Casual and stylish seafood tapas.,C/ de la Virtut 11 08012 Barcelona,[10],"41.40106 N, 2.15873 E","=AI(""find the google_place_id of Lluritu, Barcelona."")"
Barcelona,A0039,Spain,Southern Europe,Restaurants,Suru,Suru,Asian-Mediterranean fusion near Mercat del Ninot.,C/ de Casanova 158 08036 Barcelona,[10],"41.39167 N, 2.15286 E","=AI(""find the google_place_id of Suru, Barcelona"")"
Berlin,A0053,Germany,Central Europe,Restaurants,CODA Dessert Dining,CODA Dessert Dining,Dessert-only fine dining tasting menu.,Friedelstraße 47 12047 Berlin,[16][6],,Generating formulas is not supported. Please use the Gemini side panel instead.
Copenhagen,A0076,Denmark,Central Europe,Restaurants,Historic smørrebrød lunch at Schønnemann.,Schønnemann,Historic lunch spot for smørrebrød.,Hauser Pl. 16 1127 København,[18],,ChIJA2900gxeUEYRv4jM0094-aM
Copenhagen,A0077,Denmark,Central Europe,Restaurants,Reffen,Reffen,Street food market with harbor views.,Refshalevej 167A 1432 København,[18],,"ChIJJz4Xz5tPUEYRL7-XlE -->
ChIJJz4Xz5tPUEYRL7-XlE"
London,A0150,UK,Western Europe,Restaurants,Mountain,Mountain,Wood-fired Spanish grill in Soho by the Brat team.,16-18 Beak St London W1F 9RD,[2],"51.51441 N, 0.13840 W",ChIJL4H0F48HdkgR39M1v4Xv344
Toronto,A0293,Canada,Americas,Museum,Explore MOCA's industrial chic art.,MOCA Toronto,Museum of Contemporary Art in the Junction; industrial chic setting.,158 Sterling Rd Toronto ON M6R 2B7,,"43.65555° N, 79.44473° W",ChIJCw-H6W7T1IkROJ2Qo10Qe1Q
Toronto,A0294,Canada,Americas,Visits,Explore Toronto's vibrant Graffiti Alley.,Graffiti Alley,Vibrant kilometer-long stretch of street art in the Fashion District.,Rush Lane Toronto ON[15],,,ChIJq5m-9jM1K4gRV1D_pE21dF8
Vienna,A0306,Austria,Central Europe,Visits,Prater Amusement Park,Prater Amusement Park,Ride the historic Riesenrad Ferris wheel; featured in 'The Third Man'.,1020 Vienna,,,ChIJq5rT0hFbbUcRC7kR_n6XjQ4
Vienna,A0307,Austria,Central Europe,Visits,Naschmarkt on Saturday,Naschmarkt on Saturday,The flea market section opens up; hunt for antiques and Eat at NENI.,Wienzeile 1060 Wien,,"48.19840 N, 16.36690 E",ChIJq55mJt9WVkYRW17rYl5YhBw
Edinburgh,A0102,UK,Western Europe,Museum,Explore Cold War Scotland exhibition.,National Museum of Scotland,2025 Exhibition 'Cold War Scotland' exploring the nuclear age.,Chambers St Edinburgh EH1 1JF,,"55.94699 N, 3.18918 W",
Edinburgh,A0112,UK,Western Europe,Restaurants,Wait in line for pastries,Skua,Fine-dining fried chicken and cocktails.,49 St Stephen St Edinburgh EH3 5AH,[8][9],,ChIJF9oQpD9hLYgR09WlK8n8hFw
Madrid,A0163,Spain,Southern Europe,Restaurants,Fresh seafood lunch at market.,Mercado de la Cebada,Local market for fresh seafood lunch.,Pl. de la Cebada s/n 28005 Madrid,[11],"40.40866 N, 3.70880 W",ChIJF9-lS_pUUEYRCXmH9tK-o8Y
Madrid,A0164,Spain,Southern Europe,Restaurants,El Urogallo,El Urogallo,Lakeside dining in Casa de Campo.,P.º de la Prta del Ángel 12 28011 Madrid,[11],,
Milan,A0198,Italy,Southern Europe,Restaurants,Taste inventive pizza tasting menus.,Confine,Inventive pizzeria with tasting menus.,Piazza Guglielmo Miani 2 20141 Milano,[12],,ChIJF9-lX32GhkcRu0kR2mOqLzQ
Moscow,A0221,Russia,Emerging & Eastern,Restaurants,Dom 12,Dom 12,Local favorite in Patriarch’s Ponds for borscht.,Mansurovskiy Pereulok 12 Moscow,[3],,ChIJq55mJt9WVkYRW17rYl5YhBw
Moscow,A0222,Russia,Emerging & Eastern,Restaurants,Dr. Zhivago,Dr. Zhivago,Chic modern Russian dining near the Kremlin.,Mokhovaya St 15/1 Moscow,[3],,ChIJL2eA44i_SkYRW12W_nB0G-Q
Paris,A0243,France,Western Europe,Hotel,Stay in 70s retro design.,Hôtel Château d'Eau,New 2025 opening by the Touriste group; 70s inspired interiors by Necchi Architecture.,Rue du Château d'Eau 75010 Paris,,,ChIJQ4X_eW9_5kcR2D4sJmE3L0A
Prague,A0256,Czech Republic,Central Europe,Museum,Mucha Museum,Mucha Museum,Expanded collection for 2025 featuring the Slav Epic digital experience.,Panská 7 110 00 Nové Město,,"50.08436 N, 14.42758 E",ChIJq6D5M4tQC0cR1v37rV020gQ
Prague,A0257,Czech Republic,Central Europe,Visits,Vyšehrad,Vyšehrad,The 'other' castle; fewer tourists,stunning river views and cemetery.,V Pevnosti 159/5b 128 00 Praha 2,,ChIJu84n97nOxEcRdJpY1I_nF1M
Rome,A0275,Italy,Southern Europe,Restaurants,Dine on modern Roman foraging.,Retrobottega,Modern Roman dining with an open kitchen and foraging ethos.,Via della Stelletta 4 00186 Roma,[10],,ChIJq55mJt9WVkYRW17rYl5YhBw
Stockholm,A0287,Sweden,Central Europe,Hotel,Villa Dagmar,Villa Dagmar,Chic boutique hotel near Östermalms Saluhall; eclectic and vibrant.,Nybrogatan 25-27 114 39 Stockholm,,,
Stockholm,A0288,Sweden,Central Europe,Restaurants,Främmat,Främmat,French-Mediterranean dining with good vibes.,Dalagatan 54 113 24 Stockholm,[19],,
Stockholm,A0289,Sweden,Central Europe,Restaurants,Riche,Riche,Classic spot for Swedish meatballs.,Birger Jarlsgatan 4 114 34 Stockholm,[19],,ChIJL4980yYlX0YRVp68R9FzL8M
Stockholm,A0290,Sweden,Central Europe,Hotel,Radisson Collection Strand,Radisson Collection Strand,Historic hotel with waterfront views.,Nybrokajen 9 103 27 Stockholm,[19],,ChIJF9oQO0yOX0YRuJ2QG_vM5wY
Stockholm,A0291,Sweden,Central Europe,Activity,Spanish tapas at Uno Mas,Fotografiska,World-renowned photography museum.,Stadsgårdshamnen 22 116 45 Stockholm,[19],,
Lisbon,A0137,Portugal,Southern Europe,Hotel,Rooftop wine and Tagus views,Memmo Alfama,Boutique hotel with terrace views in Alfama.,Tv. das Merceeiras 27 1100-348 Lisboa,[14],"38.71113 N, 9.12933 W",ChIJAx42v15tJg0R0u8f65y15Hk
Milan,A0191,Italy,Southern Europe,Visits,Navigli Canals,Navigli Canals,Sunset aperitivo walk along the Ripa di Porta Ticinese.,Naviglio Grande Milano[4],,"45.4513 N, 9.1764 E",
Madrid,A0157,Spain,Southern Europe,Visits,"The current information is truncated, but based on the ""Visits"" category in Madrid, a descriptive title could be ""Explore El Rastro Market.""",El Rastro,The famous Sunday flea market; hunt for antiques in La Latina.,C. de la Ribera de Curtidores 28005 Madrid[3],,,
Edinburgh,A0113,UK,Western Europe,Bakery,Lannan,Lannan,Famous bakery with legendary queues.,29-35 Hamilton Pl Edinburgh EH3 5BA,[8],,
New York City,A0227,USA,Americas,Visits,Glass floor views high above NYC.,Summit One Vanderbilt,Multi-sensory observation deck with glass floors and mirror balloons.,45 E 42nd St NY 10017,,,ChIJQ_8Fw7NfwokR_6-W-4mS6t0
Vienna,A0304,Austria,Central Europe,Museum,Albertina Modern,Albertina Modern,Focusing on 'The Essl Collection' in 2025; contemporary Austrian art.,Karlsplatz 5 1010 Wien,,,ChIJ10nJ83lbbEcR84e9s6o1B9M
Rome,A0276,Italy,Southern Europe,Cafe,La Tazza d'Oro,La Tazza d'Oro,Legendary coffee bar famous for coffee granita.,Via degli Orfani 84 00186 Roma,[10],"41.89921 N, 12.47702 E",
Rome,A0277,Italy,Southern Europe,Restaurants,Explore a New City's Charms,Salumeria Roscioli,High-end deli and restaurant essential for carbonara.,Via dei Giubbonari 21 00186 Roma,[10],,ChIJL2k7c74oFxMR8T7Q_j_5h-g
New York City,A0230,USA,Americas,Hotel,Experience Maximalist Luxury in NoMad,The Fifth Avenue Hotel,Maximalist luxury in NoMad; Martin Brudnizki design opened late 2024.,250 5th Ave NY 10001,,,ChIJq5rM34pYwokRuM921_y5-Ew
New York City,A0231,USA,Americas,Hotel,Stay in a landmark hotel,Nine Orchard,Restored bank building in Dimes Square; old-world charm meets cool crowd.,9 Orchard St NY 10002,,"40.71536 N, 73.99124 W",
Istanbul,A0124,Turkey,Emerging & Eastern,Restaurants,Experience two-star Turkish tasting menu,Turk Fatih Tutak,Two Michelin-star tasting menu reinterpreting traditions.,Cumhuriyet Hacıahmet Silahşör Cad 34380 Şişli,[24],,
Vienna,A0305,Austria,Central Europe,Museum,See historical artist rivalries.,Kunsthistorisches Museum,Major 2025 exhibition 'Idols & Rivals' exploring historical artist rivalries.,Maria-Theresien-Platz 1010 Wien,,,
Montreal,A0208,Canada,Americas,Hotel,Enjoy Parisian Bistro ambiance.,Vogue Hotel Montreal,Freshly renovated curio collection; Parisian bistro vibe.,1425 Rue de la Montagne Montreal QC H3G 1Z3,,,
Montreal,A0209,Canada,Americas,Hotel,William Gray,William Gray,Luxury boutique hotel in Old Port.,421 Rue Saint-Vincent Montréal QC H2Y 3A6,[23],,
Montreal,A0212,Canada,Americas,Restaurants,Larry's,Larry's,Casual French café institution in Mile End.,9 Ave Fairmount E Montréal QC H2T 1E7,[23],,
Marrakech,A0174,Morocco,Emerging & Eastern,Restaurants,Dine atop the Marrakech Medina.,IZZA Rooftop,Chic rooftop dining in the Medina.,Medina Marrakech,[25],,
Madrid,A0162,Spain,Southern Europe,Activity,Cafetín La Quimera,Cafetín La Quimera,Authentic non-touristy flamenco tablao.,C. de Sancho Dávila 34 28028 Madrid,[11],,
Paris,A0247,France,Western Europe,Nightlife,Bambino,Bambino,Tokyo-style listening bar with natural wines and small plates.,25 Rue Saint-Sébastien 75011 Paris,[1],,ChIJL2Hk-4B45kcRdW9dK72x3-k
Paris,A0248,France,Western Europe,Restaurants,Les Enfants Rouges,Les Enfants Rouges,Acclaimed neo-bistro near the historic market.,9 Rue de Beauce 75003 Paris,[1],,
Dublin,A0098,Ireland,Western Europe,Restaurants,Chapter One,Chapter One,World-class fine dining by Mickael Viljanen.,18-19 Parnell Sq N Dublin 1,[6][7],,ChIJF9oQcE7WZEgRaM642k1fU-E
Dublin,A0099,Ireland,Western Europe,Bar,Note Wine Bar,Note Wine Bar,Bistro bites and natural wines in a mid-century setting.,26 Fenian St Dublin 2,[6][7],"53.34211 N, 6.24869 W",ChIJTzTzQ4sCZ0gR5vK8x-zLq6E
Paris,A0249,France,Western Europe,Cocktails,Chic literary Saint-Germain cocktails,Cravan,Chic literary-themed cocktail bar in Saint-Germain.,165 Blvd Saint-Germain 75006 Paris,[1],,
Paris,A0250,France,Western Europe,Restaurants,Eat falafel in Le Marais,L'As du Fallafel,Definitive falafel spot in the Marais.,34 Rue des Rosiers 75004 Paris,[1],,ChIJEy8r5fNu5kcRX2eQ7R-7j6M
Toronto,A0301,Canada,Americas,Restaurants,See Kandinsky at H'ART Museum,Alder,Wood-fired dining inside Ace Hotel Toronto.,51 Camden St Toronto ON M5V 1V2,[22],,
Paris,A0246,France,Western Europe,Restaurants,Le Petit Vendôme,Le Petit Vendôme,Institution famous for the best jambon-beurre sandwich in Paris.,8 Rue des Capucines 75002 Paris,[1],,ChIJq4mR76pY5kcRh9633lUvWdE
Paris,A0254,France,Western Europe,Restaurants,Enjoy small plates at Soma.,Soma,Stylish Japanese izakaya serving small plates.,13 Rue de Saintonge 75003 Paris,[1],,ChIJ99v2yHhY5kcR_V-mF6YQ99Y
Prague,A0255,Czech Republic,Central Europe,Museum,See Bohemia Art Exhibition 2025,Kunsthalle Praha,New art space in a converted electricity station; 'Bohemia' exhibit 2025.,Klárov 5 118 00 Malá Strana,,,"=AI(""find the google_place_id of Kunsthalle Praha, Prague."")"
Stockholm,A0284,Sweden,Central Europe,Attraction,Icebar Stockholm,Icebar Stockholm,The world's first permanent ice bar; -5°C year-round.,Vasaplan 4 111 20 Stockholm,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Stockholm,A0285,Sweden,Central Europe,Attraction,Visit Tak rooftop attraction,Tak Rooftop,Huge rooftop park and bar complex; fusion of Japanese and Swedish culture.,Brunkebergstorg 4 111 51 Stockholm,,,
London,A0141,UK,Western Europe,Visits,Explore neon art wonderland.,God's Own Junkyard,A neon wonderland in Walthamstow; perfect for photography and gritty local vibes.,Unit 12 Ravenswood Industrial Estate London E17 9HQ,,,
Miami,A0178,USA,Americas,Visits,Spray your own graffiti tag,Wynwood Walls,Street art museum; book the 'Graffiti Experience' to spray your own tag.,2520 NW 2nd Ave Miami FL 33127[13],,,
Prague,A0261,Czech Republic,Central Europe,Hotel,Stay Art Nouveau high-tech.,The Julius Prague,New design-led aparthotel; high-tech meets Art Nouveau style.,Senovážné nám. 3 110 00 Nové Město,,,"=AI(""find the google_place_id of The Julius Prague, Prague."")"
Lisbon,A0127,Portugal,Southern Europe,Museum,Explore MAAT's Black Ancient Futures.,MAAT,Museum of Art Architecture & Technology; 2025 focus on 'Eco-Futures'.,Av. Brasília 1300-598 Lisboa,,"38.69741 N, 9.19502 W",ChIJq5m-eT6_Jg0RD_D1oP0gM_0
Prague,A0258,Czech Republic,Central Europe,Visits,Naplavka Farmers Market,Naplavka Farmers Market,Saturday morning riverside market; live music and local cider.,Rašínovo nábřeží 120 00 Praha 2,,"50.07078 N, 14.41413 E","=AI(""find the google_place_id of Naplavka Farmers Market, Prague."")"
Berlin,A0052,Germany,Central Europe,Restaurants,Eat Nikkei in graffiti setting.,893 Ryotei,Nikkei cuisine in a graffiti-covered setting.,Kantstraße 135 10625 Berlin,[16][6],,ChIJUYyVvSReUEYRCXmH9tK-o8Y
Barcelona,A0041,Spain,Southern Europe,Restaurants,Enjoy Asian cuisine and wine.,Mikan,North-East Asian cuisine with natural wines.,C/ d'Aribau 162 08036 Barcelona,[10],"41.39343 N, 2.15570 E",
Barcelona,A0035,Spain,Southern Europe,Hotel,Relax at Hoxton's Rooftop Taqueria,The Hoxton Poblenou,Trendy rooftop pool and taqueria in the tech district; new favorite.,Avinguda Diagonal 205 08018 Barcelona,,,
Milan,A0192,Italy,Southern Europe,Attraction,Spa in historic tram sauna.,QC Termemilano,Spa set in Spanish walls with a bio-sauna inside a historic tram.,Piazzale Medaglie d'Oro 2 20135 Milano[4],,,
Milan,A0193,Italy,Southern Europe,Attraction,Bar Luce,Bar Luce,Wes Anderson-designed cafe inside Fondazione Prada; retro pinball machines.,Largo Isarco 2 20139 Milano[5],,"45.44976 N, 9.17646 E",ChIJq55mJt9WVkYRW17rYl5YhBw
Barcelona,A0033,Spain,Southern Europe,Attraction,Relax in Born Arab Baths,Aire de Barcelona,Arab baths in the Born district; thermal circuits in a candlelit cavern.,Passeig de Picasso 22 08003 Barcelona,,"41.3850 N, 2.1818 E - north east",ChIJL01k-kOipxIRf7j47w5vB3Y
Copenhagen,A0070,Denmark,Central Europe,Attraction,Relax in historic thermal baths.,Aire Ancient Baths,Thermal baths in the Carlsberg district; opened in a historic brick brewery.,Ny Carlsberg Vej 101 1799 København,,,
Copenhagen,A0071,Denmark,Central Europe,Attraction,Eat street food by harbor,Reffen Street Food,Outdoor food market in shipping containers; DJs and harbour views.,Refshalevej 167A 1432 København,,,
Athens,A0022,Greece,Southern Europe,Hotel,Parthenon rooftop pool illusion.,The Dolli,New opening in Plaka; rooftop pool creates an optical illusion with the Parthenon.,Mitropoleos 49 105 56 Athina[6],,,"=AI(""find the google_place_id of The Dolli, Athens."")"
Barcelona,A0029,Spain,Southern Europe,Museum,See Banksy and NFT art,Moco Museum,Modern contemporary museum featuring new Banksy and NFT exhibits in 2025.,c/ de Montcada 25 08003 Barcelona,,"41.38531 N, 2.18182 E",
Rome,A0267,Italy,Southern Europe,Museum,See major Caravaggio exhibition 2025.,Palazzo Barberini,Hosting the major 'Caravaggio and the 17th Century' retrospective in 2025.,Via delle Quattro Fontane 13 00184 Roma,,"41.90361 N, 12.49028 E",
Rome,A0268,Italy,Southern Europe,Museum,MAXXI,MAXXI,Contemporary art museum featuring a Zaha Hadid tribute exhibition in 2025.,Via Guido Reni 4A 00196 Roma,,"41.92750 N, 12.47278 E",
Vienna,A0315,Austria,Central Europe,Restaurants,Eat quirky Bohemian cuisine.,Am Nordpol 3,Authentic Bohemian cuisine in a quirky setting.,Nordwestbahnstraße 17 1020 Wien,[5],,
Milan,A0188,Italy,Southern Europe,Museum,See contemporary art at Fondazione,Fondazione Prada,Hosting the 'Atlas' project in the haunted house tower; new 2025 cinema lineup.,Largo Isarco 2 20139 Milano,,,"=AI(""find the google_place_id of Fondazione Prada, Milan."")"
Milan,A0189,Italy,Southern Europe,Museum,See Escher's Optical Illusions,Mudec,Hosting 'Surrealism & Magic' exhibition in partnership with Guggenheim in 2025.,Via Tortona 56 20144 Milano,,"45.45260 N, 9.16788 E",ChIJL2x1fO-WhkcRD_n9Xk0c2wQ
Montreal,A0201,Canada,Americas,Museum,Compare O'Keeffe and Moore's Abstraction,Montreal Museum of Fine Arts,2025 exhibition 'O'Keeffe and Moore' comparing the two modernists.,1380 Sherbrooke St W Montreal QC H3G 1J5,,"45.49528 N, 73.57944 W",Generating formulas is not supported. Please use the Gemini side panel instead.
Montreal,A0202,Canada,Americas,Museum,Pointe-à-Callière,Pointe-à-Callière,Archaeology museum; 2025 show on 'The Incas' treasures.,350 Place Royale Montreal QC H2Y 3Y5,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Milan,A0190,Italy,Southern Europe,Visits,See the Vertical Forest,Bosco Verticale,Walk through the Porta Nuova district to see the vertical forests.,Via Gaetano de Castillia 20124 Milano[4],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Amsterdam,A0004,Netherlands,Western Europe,Visits,See giant water lilies bloom.,Hortus Botanicus,One of the oldest botanical gardens; seeing the giant water lilies in bloom.,Plantage Middenlaan 2a 1018 DD Amsterdam,,,
Athens,A0016,Greece,Southern Europe,Museum,See new Greek Modernism exhibit.,National Gallery,Newly renovated annex opening in 2025 featuring Greek Modernism.,Leof. Vasileos Konstantinou 50 116 34 Athina[6],,"59.3377° N, 18.0722° E",Generating formulas is not supported. Please use the Gemini side panel instead.
Berlin,A0043,Germany,Central Europe,Museum,See Josephine Baker exhibition,Neue Nationalgalerie,Hosting the 'Josephine Baker' icon exhibition in 2025.,Potsdamer Str. 50 10785 Berlin,,"52.50853 N, 13.36709 E",
New York City,A0236,USA,Americas,Bar,See Kandinsky Art in 2025,Double Chicken Please,Inventive food-inspired cocktails.,115 Allen St NY 10002,[20],,ChIJq55mJt9WVkYRW17rYl5YhBw
Amsterdam,A0002,Netherlands,Western Europe,Museum,See Kandinsky at H'ART Museum,H'ART Museum,Rebranded Hermitage; 2025 features a Kandinsky blockbuster collaboration.,Amstel 51 1018 EJ Amsterdam,,,ChIJ103zPswFdkgRsr2y9W7-XlE
Dakar,A0087,Senegal,Emerging & Eastern,Restaurants,Italian fine dining and wine.,Noliane,Italian fine dining with a wine bar.,Dakar,[26],"14.73323 N, 17.47217 W",ChIJEb61-46iRw4R5p992-5-u2c
Lisbon,A0135,Portugal,Southern Europe,Activity,See Kandinsky at H'ART Museum,Tram 28,Iconic tram ride through historic districts.,Lisbon,[14],,ChIJq55mJt9WVkYRW17rYl5YhBw
Lisbon,A0136,Portugal,Southern Europe,Restaurants,Cantina LX,Cantina LX,Wood-fired Portuguese food in LX Factory.,R. Rodrigues de Faria 103 1300-501 Lisboa,[15],"38.70322 N, 9.17604 W",ChIJ95Y9iGjXxkcRNx11778C2pE
Miami,A0186,USA,Americas,Restaurants,See Kandinsky at H'ART Museum,Si Papa at 3190,Lasagna-only speakeasy concept.,Coconut Grove Miami FL,[21],,"=AI(""find the google_place_id of Si Papa, 3190 Commodore Plaza, Miami, FL"")"
Miami,A0187,USA,Americas,Restaurants,Tina in the Gables,Tina in the Gables,Breakfast and cafe culture pioneer.,4700 S Le Jeune Rd Coral Gables FL 33146,[21],,ChIJL0vV66W22YgR7T0_2w4-hP0
