City,ID,Country,Region,Remapped Category,Title - value,Establishment,Description,Address,Source_ID,Coordinates,Google_place_id
Copenhagen,A0067,Denmark,Central Europe,Museum,See sustainable design in Copenhagen,Designmuseum Danmark,Reopened with 'The Future is Present' exhibition focusing on sustainable design.,Bredgade 68 1260 København,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Barcelona,A0030,Spain,Southern Europe,Museum,See Miró Picasso Dialogue 2025,Miró Foundation,Celebrating 50 years in 2025 with a special 'Miró & Picasso' dialogue.,Parc de Montjuïc 08038 Barcelona,,"41.3687 N, 2.1601 E",ChIJ99p8G7DXxkcRY9h991873pU
Moscow,A0214,Russia,Emerging & Eastern,Museum,Explore Russian 20th-century art.,Tretyakov Gallery (New),Modernist wing; extensive collection of 20th-century Russian art.,Krymsky Val 10 119049 Moscow[20],,,
Moscow,A0215,Russia,Emerging & Eastern,Visits,Visit Moscow's Floating Bridge,Zaryadye Park,Futuristic park near Red Square; 'Floating Bridge' over the Moskva.,Varvarka Street 6 109012 Moscow[20],,,ChIJL6bX927NtUYR4-iT3qX137o
Athens,A0017,Greece,Southern Europe,Museum,See Picasso Retrospective at Museum,Goulandris Museum,Modern art museum in Pangrati; hosting a Picasso retrospective in 2025.,Eratosthenous 13 116 35 Athina[6],,,
Paris,A0237,France,Western Europe,Museum,See the Pompidou's Final Blockbuster,Centre Pompidou,Hosting the blockbuster 'Paris-New York' retrospective before its 5-year closure in late 2025.,Place Georges-Pompidou 75004 Paris,,"48.8606 N, 2.3522 E",ChIJQ4hL1GBy5kcR8k9b5l0v6c8
Paris,A0238,France,Western Europe,Museum,Film and Impressionism at Orsay.,Musée d'Orsay,Presents 'Cinema at Last!' exploring the dialogue between early film and Impressionism in 2025.,1 Rue de la Légion d'Honneur 75007 Paris,,"48.860 N, 2.327 E",ChIJ9_X70WpZSwYRQ9WjQ7V777M
New York City,A0225,USA,Americas,Museum,Experience Broadway's immersive history.,Museum of Broadway,New immersive museum detailing the history of NYC theater; interactive sets.,145 W 45th St NY 10036,,"40.75750 N, 73.98444 W",ChIJEzC76iFYwokR4Ym0l4Y-R-M
Budapest,A0058,Hungary,Central Europe,Visits,"See thinkers, enjoy Danube views",Philosophers' Garden,Quiet park with statues of world thinkers; great Danube views.,Sánc u. 3/a 1016 Budapest[10],,,ChIJE6E0e-i9oRMRbLdJq9i8uD8
Edinburgh,A0103,UK,Western Europe,Museum,See Tracey Emin's Sculptures,Jupiter Artland,Sculpture park hosting a 2025 residency by artist Tracey Emin.,Bonnington House Steadings Wilkieston Edinburgh EH27 8BY,,,
Dakar,A0079,Senegal,Emerging & Eastern,Museum,See West African traditional masks.,Théodore Monod African Art Museum,One of the oldest art museums in West Africa; traditional masks.,Place Emile Badiane Dakar[19],,,ChIJ9eC0N34XQzgR_1M2Y_Vj8Wc
Dakar,A0080,Senegal,Emerging & Eastern,Visits,Visit Pink Lake salt harvesters,Île de Ngor,Take a pirogue to this car-free artist island; surf and relax.,Ngor Island Dakar[19],,,
Miami,A0185,USA,Americas,Restaurants,Asian Caribbean smokehouse dining.,Shiso,Asian smokehouse with Caribbean soul in Wynwood.,239 NW 28th St Miami FL 33127,[21],,ChIJq55mJt9WVkYRW17rYl5YhBw
Amsterdam,A0001,Netherlands,Western Europe,Museum,See Vermeer's Legacy Exhibition 2025,Rijksmuseum,Hosting 'Vermeer's Legacy' in 2025; highlighting the golden age influence.,Museumstraat 1 1071 XX Amsterdam,,"52.359 N, 4.885 E",
Copenhagen,A0066,Denmark,Central Europe,Museum,See massive light art in 2025,Copenhagen Contemporary,Hosting 'Light & Space' installation art in 2025; massive industrial halls.,Refshalevej 173A 1432 København,,,"=AI(""find the google_place_id of Copenhagen Contemporary, Copenhagen."")"
Paris,A0240,France,Western Europe,Visits,Tour secret vineyard at harvest.,Montmartre Vineyard,Exclusive tours of the Clos Montmartre secret vineyard during the harvest season.,Rue des Saules 75018 Paris,,"48.88819 N, 2.33983 E",ChIJq7U9e-uH5kcR7P46e29tq9I
Paris,A0245,France,Western Europe,Restaurants,Authentic French dining near Louvre.,Brasserie du Louvre,Reliable brasserie steps from the museum avoiding tourist traps.,1 Place du Palais Royal 75001 Paris,[1],"48.86178 N, 2.33649 E",ChIJL_s98_Fz5kcRs_xS3fX-7g8
Istanbul,A0121,Turkey,Emerging & Eastern,Hotel,Explore Peninsula's waterfront gardens.,The Peninsula Istanbul,New ultra-luxury opening in Galataport; waterfront gardens.,Karaköy Kemankeş Karamustafa Paşa 34425 İstanbul[18],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Amsterdam,A0009,Netherlands,Western Europe,Restaurants,Share Mediterranean-Turkish plates at Esra.,Esra,Mediterranean-Turkish sharing plates in Amsterdam Oost.,C. van Eesterenlaan 35 1019 JK Amsterdam,[3][4],,ChIJ9318qNnOyEcR8P24k6mK7hM
Berlin,A0047,Germany,Central Europe,Attraction,Sing karaoke in Berlin.,Monster Ronson's Ichiban Karaoke,Legendary karaoke bar with private booths; a Berlin nightlife staple.,Warschauer Str. 34 10243 Berlin,,"52.5066° N, 13.4475° E","=AI(""find the google_place_id of Monster Ronson's Ichiban Karaoke, Berlin."")"
Copenhagen,A0074,Denmark,Central Europe,Bakery,Sourdough breakfast at Rug Bakery,Rug Bakery,Sourdough bakery inside Villa Copenhagen.,Tietgensgade 35-39 1704 København,[18],,ChIJF78WJpJUUEYRI_Qf5R68UeM
Copenhagen,A0075,Denmark,Central Europe,Restaurants,Frankies Pizza,Frankies Pizza,High-energy sourdough pizza spot.,Allegade 2 2000 Frederiksberg,[18],,
Berlin,A0049,Germany,Central Europe,Hotel,Stay in converted design prison.,Wilmina Hotel,Converted women's prison and courthouse; serene gardens and design awards.,Kantstraße 79 10627 Berlin,,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
Moscow,A0220,Russia,Emerging & Eastern,Hotel,Stay at Eco-friendly MOSS Hotel,MOSS Boutique Hotel,Eco-friendly design hotel in historic center; personalized concierge.,Krivokolennyy Pereulok 10 101000 Moscow[20],,"55.76442 N, 37.63695 E",
Prague,A0262,Czech Republic,Central Europe,Hotel,Stay at luxury Andaz hotel,Andaz Prague,Luxury lifestyle hotel in the historic Sugar Palace; opened recently.,Senovážné nám. 976/31 110 00 Nové Město,,,ChIJq7bH7lqZQ_wR7nJ0r955Vl8
Prague,A0263,Czech Republic,Central Europe,Restaurants,Enjoy contemporary dining and cocktails.,Alma,Farm-to-table complex with fermentation lab.,V Jirchářích 150/8 110 00 Nové Město,[17],,ChIJL2Ff6p-kC0cR5wJm_K6oD20
Dublin,A0095,Ireland,Western Europe,Hotel,Dine rooftop at Jean-Georges.,The Leinster,New luxury lifestyle hotel with the city's coolest rooftop restaurant 'Jean-Georges'.,Mount Street Lower Dublin 2,,,Generating formulas is not supported. Please use the Gemini side panel instead.
Dublin,A0096,Ireland,Western Europe,Hotel,New Dublin Hoxton Hotel opening,The Hoxton Dublin,Converting the Central Hotel; buzzy lobby culture opening in 2025.,Exchequer St Dublin 2,,,ChIJq7bH7pXNz4gR907-f-91Y1Y
Marrakech,A0171,Morocco,Emerging & Eastern,Hotel,Stay at Maison Brummell Hotel,Maison Brummell Majorelle,Design-forward boutique hotel next to YSL gardens; opened 2023/24.,7 Rue Yves Saint Laurent 40000 Marrakech,,"31.64096 N, 08.00407 W",
Marrakech,A0172,Morocco,Emerging & Eastern,Hotel,Luxury Riad Stay and Rooftop Views,El Fenn,The ultimate riad chic; expanded rooftop and pool facilities.,Derb Moulay Abdullah Ben Hezzian 2 40000 Marrakech,,,
Milan,A0195,Italy,Southern Europe,Hotel,Stay in historic style.,Radisson Collection Palazzo Touring,Stylish renovation of the historic Touring Club Italiano building.,Corso Italia 10 20122 Milano[5],,,"The Google Place ID for Radisson Collection Palazzo Touring, Milan. is ChIJn-r8jR5PikcRWd-L_U4L3Q0."
Milan,A0196,Italy,Southern Europe,Restaurants,Alba Pasta Bar,Alba Pasta Bar,Handmade pasta counter inside Mercato Isola.,Piazzale Lagosta 7 20159 Milano,[12],"45.46738 N, 9.18375 E","=AI(""find the google_place_id of Alba Pasta Bar, Milan."")"
Amsterdam,A0008,Netherlands,Western Europe,Hotel,Stay at Rosewood Palace.,Rosewood Amsterdam,Highly anticipated 2025 opening in the former Palace of Justice.,Prinsengracht 436 1017 KE Amsterdam,,"52.36444 N, 4.88600 E",
Athens,A0024,Greece,Southern Europe,Hotel,Stay at trendy Glyfada hotel.,Ace Hotel Athens,New trendy hotel in Glyfada with retro-cool design.,1 Artemisiou Glyfada 16675 Athens,[13],,ChIJ97H0N4x15kcR9_7qL2o2s10
Copenhagen,A0073,Denmark,Central Europe,Hotel,Quirky stay in former university,25hours Hotel Indre By,Quirky,colorful hotel in a former university building; 'Coming of Age' theme.,Pilestræde 65 1112 København,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
Berlin,A0048,Germany,Central Europe,Hotel,Stay at chic art hotel.,Chateau Royal,New boutique hotel near Unter den Linden; art-focused and chic.,Mittelstraße 41 10117 Berlin,,,Generating formulas is not supported. Please use the Gemini side panel instead.
Milan,A0194,Italy,Southern Europe,Hotel,Dine in the grand piazza.,Portrait Milano,New opening in the former Archbishop's seminary; massive piazza and dining.,Corso Venezia 11 20121 Milano[5],,,"=AI(""find the google_place_id of Portrait Milano, Milan"")"
Amsterdam,A0007,Netherlands,Western Europe,Hotel,Stay in eclectic heritage hotel.,The Hoxton Lloyd,New opening in the Eastern Docklands; eclectic design in a heritage building.,Oostelijke Handelskade 34 1019 BN Amsterdam,,,ChIJ91l-u87PxkcRxk_8X6Q9v_U
Athens,A0018,Greece,Southern Europe,Visits,Sunset view from Lycabettus Hill,Anafiotika,Hidden island-style village beneath the Acropolis; whitewashed houses.,Plaka 105 58 Athens[7],,,ChIJ95wL3F8vQg0R1NnF7K_66_8
Athens,A0019,Greece,Southern Europe,Visits,Funicular sunset view of Athens,Lycabettus Hill,Take the funicular for the highest view of the city at sunset.,Aristippou 1 106 76 Athina[7],,"37.97778 N, 23.74167 E",ChIJ95Y9iGjHxkcRD-v3z-7d3E0
Prague,A0259,Czech Republic,Central Europe,Attraction,Beer Spa Bernard,Beer Spa Bernard,Soak in a tub of beer ingredients while drinking unlimited lager.,Týn 10 110 00 Staré Město,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Prague,A0260,Czech Republic,Central Europe,Attraction,Underground ruin bar drinks,Vzorkovna (Dog Bar),Underground ruin bar maze; live jamming sessions and a resident Irish Wolfhound.,Národní 339/11 110 00 Staré Město,,,
Moscow,A0223,Russia,Emerging & Eastern,Activity,"The City, Establishment, and Description data for this row is missing.",Danilovsky Market,Sleek food hall with diverse stalls.,Mytnaya St 74 Moscow,[3],,ChIJq55mJt9WVkYRW17rYl5YhBw
New York City,A0224,USA,Americas,Museum,See the reimagined Rockefeller Wing,The Met,Opening the renovated Rockefeller Wing in 2025; Art of Africa and Oceania.,1000 5th Ave NY 10028,,,ChIJL2CjP3RYwokRqE7Q-i1nN-c
Montreal,A0204,Canada,Americas,Visits,"The current row (A205) is empty, so I cannot generate a title.

Here is an example for Amsterdam's first activity:
See Vermeer's Legacy",Lachine Canal,Rent a BIXI bike and ride the path to Atwater Market for lunch.,Lachine Canal Montreal QC[16],,"45.43306 N, 73.68083 W",
Montreal,A0205,Canada,Americas,Attraction,Immersive light show experience,Aura at Notre-Dame,Immersive light and sound show inside the basilica; visually stunning.,110 Notre-Dame St W Montreal QC H2Y 1T1[16],,"45.5034° N, 73.5592° W",ChIJQ_nF3TyQyUwRjX8T416Xm8c
London,A0144,UK,Western Europe,Hotel,Stay at celebrity haunt.,The Broadwick Soho,Maximalist glamour designed by Martin Brudnizki; the new celebrity haunt.,20 Broadwick St London W1F 8HT,,,ChIJE6R-mJ8adkgR6YpT8d20S1U
London,A0145,UK,Western Europe,Hotel,Stay at 1 Hotel Mayfair.,1 Hotel Mayfair,Sustainable luxury with a living wall facade; opened late 2024/2025.,3 Berkeley St London W1J 8DJ,,,ChIJL_B-V30bdkgR4T5F5Vf050E
Lisbon,A0128,Portugal,Southern Europe,Museum,Modern art and serene gardens.,Gulbenkian Museum,Modern collection re-hanging in 2025; extensive gardens for relaxing.,Av. de Berna 45A 1067-001 Lisboa,,,
Lisbon,A0129,Portugal,Southern Europe,Visits,Sunset view from highest hill,Miradouro da Senhora do Monte,The highest viewpoint in the city; less touristy than Santa Luzia.,Rua da Senhora do Monte 50 1170-361 Lisboa,,"38.718 N, 9.131 W",
Paris,A0242,France,Western Europe,Attraction,Noir Karaoke,Noir Karaoke,The chicest private karaoke rooms in Paris with art-deco interiors.,12 Rue de l'Échiquier 75010 Paris,,"48.8726 N, 2.3503 E","=AI(""find the google_place_id of Noir Karaoke, Paris."")"
Toronto,A0295,Canada,Americas,Visits,Toronto Islands,Toronto Islands,Take the ferry for skyline views; bike rental available on Centre Island.,Toronto Islands Toronto ON[15],,,ChIJT8wG3J4...
Toronto,A0296,Canada,Americas,Attraction,Explore Little Canada miniature East Coast.,Little Canada,Highly detailed miniature world attraction; new 'East Coast' section 2025.,10 Dundas St E Toronto ON M5B 2G9[15],,"43.65667 N, 79.38056 W",
Paris,A0239,France,Western Europe,Visits,Walk the blooming elevated park.,La Coulée Verte,The original elevated park walk; less crowded than the High Line and blooms in spring.,12th Arrondissement Paris,,"48.84944 N, 2.37167 E",ChIJF9T_bMhW5kcRO83B36p9S_0
Paris,A0252,France,Western Europe,Restaurants,Eat Eyal Shani's high-energy pitas.,Miznon,Celebrity Chef Eyal Shani's chaotic high-energy pita venue.,22 Rue des Ecouffes 75004 Paris,[1],"48.85764 N, 2.35928 E",ChIJF9oQ4XJ05kcRG27jB4o-e9A
Paris,A0253,France,Western Europe,Restaurants,Brutos,Brutos,Brazilian-influenced barbecue with natural wines.,5 Rue du Général Renault 75011 Paris,[1],,ChIJL68h7yZ_5kcR2D5m4h2E9fU
Vienna,A0313,Austria,Central Europe,Restaurants,Café Kandl,Café Kandl,Creative dining and gin bar in a Biedermeier courtyard.,Kandlgasse 12 1070 Wien,[5],,ChIJEb610F9abUcRPk2P6o_w4aI
Vienna,A0314,Austria,Central Europe,Restaurants,Dine on modern Viennese classics.,Lugeck,Modern take on classic Viennese schnitzel and tafelspitz.,Lugeck 4 1010 Wien,[5],"48.20917 N, 16.37446 E",ChIJ9d2Yv7hbbUcR_T86z9w0F8k
Miami,A0182,USA,Americas,Hotel,Relax at the huge pool deck.,The Elser Hotel,New luxury apartment-style hotel with huge pool deck in Downtown.,398 NE 5th St Miami FL 33132,,,ChIJq5rM3W2v2YgR-zW8qO5Q8gI
Miami,A0183,USA,Americas,Hotel,Arlo Wynwood,Arlo Wynwood,First hotel in the Wynwood district; rooftop pool and vibrant murals.,2217 NW Miami Ct Miami FL 33127,,,ChIJ9e5-9WbJxkcR53x5Q8D7u-I
Athens,A0027,Greece,Southern Europe,Bar,Try fruit fermentation cocktails,Line Athens,World-ranked bar making fruit fermentations.,Agathodaimonos 37 11853 Athens,[13],,
Vienna,A0311,Austria,Central Europe,Hotel,Rooftop bar church dome views.,Rosewood Vienna,Luxury opening in Petersplatz; rooftop bar offers best church dome views.,Petersplatz 7 1010 Wien,,,ChIJL2H2bWfEbUcR92N4G6U6YgQ
Lisbon,A0131,Portugal,Southern Europe,Attraction,Virtual reality bridge experience.,Pilar 7 Bridge Experience,Virtual reality tour inside the pillar of the 25 de Abril Bridge.,Av. da Índia 1349-028 Lisboa,,,ChIJF7sT6wDPxkYRM_5dK1Xk3_g
Lisbon,A0132,Portugal,Southern Europe,Attraction,Find the hidden speakeasy.,Red Frog Speakeasy,Hidden bar accessible by ringing a bell; voted Portugal's best cocktail bar.,Praça da Alegria 66b 1250-004 Lisboa,,,ChIJF7sT6T4_jg0RvR8vR8E_gB0
Rome,A0272,Italy,Southern Europe,Attraction,Experience neon noir cocktails.,Drink Kong,Blade Runner-inspired bar ranked in World's 50 Best; neon noir vibe.,Piazza di S. Martino Ai Monti 8 00154 Roma[2],,,ChIJq5Xn1f9nLxMRYv3s6f6qS_E
Barcelona,A0032,Spain,Southern Europe,Visits,Tour Gaudi's colorful first house,Casa Vicens,Gaudi's first house; less crowded and stunningly colorful architecture.,Carrer de les Carolines 20 08012 Barcelona,,,ChIJ9b5E18f1yUwRGv85FmG1-D0
London,A0138,UK,Western Europe,Museum,Visit London Design Museum,Design Museum,Hosting the massive 'World of Wes Anderson' exhibition starting mid-2025.,224-238 Kensington High St London W8 6AG,,"51.4925 N, 0.1989 W",ChIJhffeemdl6IgRcSa52Oq9sB8
Marrakech,A0166,Morocco,Emerging & Eastern,Museum,Explore Contemporary African Art,MACAAL,Museum of African Contemporary Art Al Maaden; cutting-edge African art.,Al Maaden Sidi Youssef Ben Ali 40000 Marrakech,,"31.54571 N, 7.97127 W",ChIJq55mJt9WVkYRW17rYl5YhBw
Marrakech,A0167,Morocco,Emerging & Eastern,Visits,Explore Secret Palace Gardens,Le Jardin Secret,Restored 19th-century palace complex with exotic and Islamic gardens.,121 Rue Mouassine 40030 Marrakech,,,
Rome,A0269,Italy,Southern Europe,Visits,Visit Nero's Golden Palace,Domus Aurea VR Tour,Visit Nero's Golden House with new Virtual Reality reconstruction goggles.,Via della Domus Aurea 1 00184 Roma,,,
Rome,A0270,Italy,Southern Europe,Visits,Peep through the secret keyhole,Keyhole of the Knights of Malta,Peep through the keyhole for a perfectly framed view of St. Peter's Basilica.,Piazza dei Cavalieri di Malta 3 00153 Roma,,,
Dakar,A0081,Senegal,Emerging & Eastern,Visits,Lighthouse bar and club,African Renaissance Monument,Taller than the Statue of Liberty; climb for city views.,Ouakam Dakar[19],,"14.72222 N, 17.49500 W",ChIJqS1c-u7jswsR7Xq75gX306w
Dakar,A0082,Senegal,Emerging & Eastern,Attraction,Visit Pink Lake salt harvesters,Pink Lake (Retba),Visit the salt harvesters; best seen during dry season for color.,Lake Retba Senegal[19],,,ChIJ9eFo-qA_4IgR-m8W44v2r_Q
Dakar,A0083,Senegal,Emerging & Eastern,Attraction,Bar at the lighthouse,Phare des Mamelles,Lighthouse with a trendy bar/club at the base; live music weekends.,Mamelles Dakar[19],,"14.7336° N, 17.5029° W","=AI(""find the google_place_id of Phare des Mamelles, Dakar."")"
Madrid,A0154,Spain,Southern Europe,Museum,See Five Centuries of Royal Art,Royal Collections Gallery,Newly opened massive museum displaying 5 centuries of royal art and tapestries.,C. de Bailén s/n 28071 Madrid,,,ChIJL_g9Q8bXQQ0R_p5-c_e0u5k
Stockholm,A0286,Sweden,Central Europe,Hotel,Ultimate 'home' boutique hotel stay.,Ett Hem,Expanded in 2024/25; the ultimate 'home' boutique hotel experience.,Sköldungagatan 2 114 27 Stockholm[9],,,
Budapest,A0057,Hungary,Central Europe,Visits,Visit the Gellért Hill Cave Church,Gellért Hill Cave Church,Unique church built inside a natural cave system; Pauline order.,Szent Gellért rkp. 1 1114 Budapest[10],,,
Vienna,A0309,Austria,Central Europe,Attraction,Visit the hidden bar,Krypt.bar,Underground jazz bar in a vaulted cellar; historic yet modern vibe.,Wasagasse 17 1090 Wien,,,
Vienna,A0310,Austria,Central Europe,Hotel,See Kandinsky blockbuster in 2025,The Hoxton Vienna,Opened 2024; mid-century design in a marble-clad modernist building.,Rudolf-Sallinger-Platz 1 1030 Wien,,"48.20815 N, 16.37255 E",ChIJTc2f7k8GZkgRTJm1qg1E3n4
Stockholm,A0281,Sweden,Central Europe,Museum,Visit the Hidden Waterfall.,Avicii Experience,Interactive tribute museum to the DJ; emotional and immersive.,Sergelgatan 2 111 57 Stockholm,,,
Stockholm,A0282,Sweden,Central Europe,Visits,Explore Stockholm Subway Art,Stockholm Subway Art Tour,Self-guided tour of the 'World's Longest Art Gallery' (Blue Line is best).,T-Centralen Stockholm,,,ChIJUW63u0HBX0YRWlV-bL4D94U
London,A0142,UK,Western Europe,Attraction,Explore Frameless Immersive Art Experience.,Frameless,The UK's largest immersive art experience; new 'Abstract' galleries added for 2025.,6 Marble Arch London W1H 7AP,,"51.51433 N, 0.15849 W",
London,A0143,UK,Western Europe,Attraction,Indulge in subterranean thermal baths.,Aire Ancient Baths,Subterranean thermal baths in a candlelit historic building near Covent Garden.,2-3 Robert St London WC2N 6BH,,,ChIJL_B-z3AadkgRGf1j6b8d2wY
Istanbul,A0115,Turkey,Emerging & Eastern,Museum,See Floating Islands 2025 exhibition.,Istanbul Modern,Newly opened Renzo Piano building; 2025 exhibition on 'Floating Islands'.,Kılıçali Paşa Tophane İskele Cd. No:1/1 34433 İstanbul,,,
Istanbul,A0116,Turkey,Emerging & Eastern,Museum,Arter,Arter,Contemporary art hub in Dolapdere; avant-garde installations.,Irmak Cd. No:13 34435 Beyoğlu/İstanbul,,,ChIJq3L-h7bJyEcRCt_S-y5oJ_0
Amsterdam,A0005,Netherlands,Western Europe,Attraction,Visit the WONDR Pink Beach,WONDR Experience,Interactive pop-up museum designed for digital natives; new 'Pink Beach' section.,Meeuwenlaan 88 1021 JK Amsterdam,,,Generating formulas is not supported. Please use the Gemini side panel instead.
Miami,A0179,USA,Americas,Visits,Visit Vizcaya's historic villa gardens.,Vizcaya Museum and Gardens,Italian Renaissance-style villa on Biscayne Bay; mangrove shoreline.,3251 S Miami Ave Miami FL 33129[14],,,
Marrakech,A0165,Morocco,Emerging & Eastern,Museum,See YSL's special textile exhibit.,Yves Saint Laurent Museum,Dedicated to the designer's work; 2025 special textile exhibit.,Rue Yves Saint Laurent 40000 Marrakech,,,
Toronto,A0298,Canada,Americas,Hotel,Stay and dine at Alder.,Ace Hotel Toronto,New build with retro-future design; Alder restaurant is a hotspot.,51 Camden St Toronto ON M5V 1V2,,,
Toronto,A0299,Canada,Americas,Hotel,Skylight rooftop bar scene.,W Toronto,Yorkville's cool new spot; 'Skylight' rooftop bar is a scene.,90 Bloor St E Toronto ON M4W 1A7,,,
Istanbul,A0117,Turkey,Emerging & Eastern,Visits,Walk Balat's Colorful Streets,Balat District,Walk the colorful streets of the old Jewish quarter; hip cafes and antiques.,Balat 34087 Fatih/İstanbul[17],,,ChIJ12e4tCjLyEcRSj9_T6VqYl0
Istanbul,A0118,Turkey,Emerging & Eastern,Visits,Cross-continent street food market.,Bosphorus Ferry to Kadıköy,Cross continents for the best street food market on the Asian side.,Kadıköy İskelesi İstanbul[17],,,
Edinburgh,A0104,UK,Western Europe,Visits,Walk Edinburgh's fairytale mill village.,Dean Village Walk,A 19th-century mill village along the Water of Leith; distinct fairytale architecture.,Dean Path Edinburgh EH4 3AY[1],,"55.95200 N, 3.22010 W",ChIJq75QeW-hgleR312WwB38Ym8
Edinburgh,A0105,UK,Western Europe,Visits,Sunset views from Calton Hill,Calton Hill at Sunset,The best vantage point for the skyline; features the unfinished 'National Monument'.,Calton Hill Edinburgh EH7 5AA[1],,,ChIJq0X3WwEoxkcRz896z74t1jI
Dublin,A0092,Ireland,Western Europe,Visits,Bracing walk to red lighthouse.,Poolbeg Lighthouse Walk,A bracing walk out into Dublin Bay for the iconic red lighthouse.,Great S Wall Dublin,,,ChIJL2W_z33iZ0gRp21hM0N42Hw
Dublin,A0093,Ireland,Western Europe,Attraction,Explore the area.,Windmill Lane Recording Studios,Tour the studio where U2 recorded 'The Joshua Tree'.,20 Ringsend Rd Dublin 4,,,
Edinburgh,A0106,UK,Western Europe,Attraction,Enjoy rooftop whisky experience.,Johnnie Walker Princes Street,Eight-floor whisky experience with a 1820 rooftop bar; booking essential.,145 Princes St Edinburgh EH2 4BL[1],,,ChIJ9e5tFv8adkgR6YqN8Wc3tS4
Edinburgh,A0107,UK,Western Europe,Attraction,Magic escape room and cocktails.,Department of Magic,Escape room and magic potion cocktail making class in the Old Town.,9 Blair St Edinburgh EH1 1QR[1],,"55.94966° N, 3.19011° W",ChIJF9oQp2s_jUMR6n_lY98F8iY
Amsterdam,A0013,Netherlands,Western Europe,Restaurants,Wine tasting at Vermeer's,Kim's So Korean Food,Korean fried chicken and lunar-themed decor in Oost.,Linnaeusstraat 35F 1093 EE Amsterdam,[3][4],"52.35987 N, 4.93883 E",
Athens,A0026,Greece,Southern Europe,Restaurants,World-ranked bar ferments fruit.,Merceri,Female-run fine dining bistro in Thiseio.,Herakleidon 21 11851 Athens,[13],"37.97902 N, 23.71966 E",ChIJ99p8G7DXxkcRY9h991873pU