,,,,,,,,,
title,description,category,city,country,lat,lon,photo_url,trip_days,activities
Canals and Culture Tour,Explore the unique waterways and historic architecture of the Dutch capital.,Cultural,Amsterdam,Netherlands,52.3676,4.9041,,"Day 1, Day 2","Canal Cruise, Rijksmuseum Visit, Anne Frank House"
Ancient Wonders of Attica,A journey through the cradle of Western civilization and democracy.,Historical,Athens,Greece,37.9838,23.7275,[URL],"Day 1, Day 2, Day 3","Acropolis Tour, Ancient Agora, Plaka Exploration"
Gaudi's Architectural Gems,Discover the unique modernist masterpieces by Antoni Gaudí.,Visits,Barcelona,Spain,41.3851,2.1734,[URL],"Day 1, Day 2","Sagrada Familia, Park Güell, Gothic Quarter walk"
"Divided City, Unified Spirit","Experience the modern dynamism and rich, turbulent history of Germany's capital.",Historical,Berlin,Germany,52.52,13.405,[URL],"Day 1, Day 2","Brandenburg Gate, Reichstag Building, East Side Gallery"
Danube's Pearl Thermal Escape,Relax in the famed thermal baths and admire the stunning Parliament building.,Fun,Budapest,Hungary,47.4979,19.0402,[URL],"Day 1, Day 2","Széchenyi Thermal Bath, Parliament Tour, Chain Bridge walk"
Scandinavian Design & Hygge,Discover the elegance and cozy lifestyle of the Danish capital.,Visits,Copenhagen,Denmark,55.6761,12.5683,[URL],"Day 1, Day 2, Day 3","Tivoli Gardens, Nyhavn Harbor, The Little Mermaid"
West African History & Coast,"A deep dive into the history, music, and vibrant markets of Senegal's capital.",Cultural,Dakar,Senegal,14.693,-17.4446,[URL],"Day 1, Day 2","Gorée Island Memorial, Grande Mosquée, Kermel Market"
Literary Pub Crawl & Castles,Experience the renowned hospitality and explore the history of Ireland's capital.,Bar & Nightlife,Dublin,Ireland,53.3498,-6.2603,[URL],"Day 1, Day 2","Guinness Storehouse, Trinity College, Dublin Castle"
Highlands Gateway & Old Town,Explore the medieval lanes and dramatic castle views of this Scottish capital.,Cultural,Edinburgh,UK,55.9533,-3.1883,[URL],"Day 1, Day 2","Edinburgh Castle, Royal Mile, Arthur's Seat hike"
Crossroads of Continents,Experience the vibrant blend of European and Asian cultures in this historic city.,Mixed,Istanbul,Turkey,41.0082,28.9784,[URL],"Day 1, Day 2, Day 3","Hagia Sophia, Blue Mosque, Grand Bazaar Shopping"
"Fado, Trams, and Coastal Views","Discover the melancholic music, steep hills, and stunning views of the Portuguese capital.",Visits,Lisbon,Portugal,38.7223,-9.1393,[URL],"Day 1, Day 2","Belém Tower, Tram 28 Ride, Alfama District"
Royal Heritage & Modern Buzz,Discover the crown jewels and the stately history of the British Monarchy.,Heritage,London,UK,51.5074,-0.1278,[URL],"Day 1, Day 2","See Buckingham Palace, Ride the London Eye, Visit the Tower of London"
Spanish Royal & Culinary Tour,"Explore the grand boulevards, world-class museums, and famed tapas culture.",Restaurants,Madrid,Spain,40.4168,-3.7038,[URL],"Day 1, Day 2","Prado Museum, Retiro Park, Tapas Hopping"
"Souks, Palaces, and Spices","Immerse yourself in the vibrant colors, scents, and sounds of the 'Red City'.",Shopping,Marrakech,Morocco,31.6295,-7.9811,[URL],"Day 1, Day 2, Day 3","Jemaa el-Fnaa Square, Bahia Palace, Majorelle Garden"
"Beaches, Art Deco, and Nightlife","Experience the tropical energy, unique architecture, and buzzing social scene.",Fun,Miami,USA,25.7617,-80.1918,[URL],"Day 1, Day 2","South Beach Relax, Art Deco Tour, Wynwood Walls"
"Fashion, Art, and Aperitivo","Discover the global capital of design, high fashion, and fine Italian dining.",Shopping,Milan,Italy,45.4642,9.19,[URL],"Day 1, Day 2","Duomo di Milano, Galleria Vittorio Emanuele II, Last Supper viewing"
French Charm & Urban Island Life,Explore the unique blend of North American energy and European flair.,Cultural,Montreal,Canada,45.5017,-73.5673,[URL],"Day 1, Day 2","Old Montreal walk, Mount Royal Park, Underground City"
"Kremlin, Red Square, and Art",A deep exploration of the political and cultural heart of Russia.,Historical,Moscow,Russia,55.7558,37.6173,[URL],"Day 1, Day 2, Day 3","Red Square, The Kremlin, Tretyakov Gallery"
New York City Discovery Tour,Discover the vibrant city of New York with its iconic landmarks and diverse neighborhoods.,Visits,New York City,USA,40.7128,-74.006,[URL],"Day 1, Day 2, Day 3","Visit Statue of Liberty, Walk Central Park, See a Broadway Show"
Parisian Romance & Art,"A romantic exploration of Paris's art, history, and culinary delights.",Cultural,Paris,France,48.8566,2.3522,[URL],"Day 1, Day 2","Tour the Louvre Museum, Ascend the Eiffel Tower, Dinner in Montmartre"
Bohemia's Fairy Tale City,"Explore the stunning Charles Bridge, Prague Castle, and Old Town Square.",Visits,Prague,Czechia,50.0755,14.4378,[URL],"Day 1, Day 2","Charles Bridge walk, Prague Castle, Astronomical Clock"
Rome Ancient Wonders,Step back in time with a tour of the eternal city's most significant Roman ruins.,Historical,Rome,Italy,41.9028,12.4964,[URL],Day 1,"Colosseum and Roman Forum visit, Toss a coin in Trevi Fountain"
Archipelago & Vasa History,Explore the beautiful islands and the unique maritime history of Sweden's capital.,Nature,Stockholm,Sweden,59.3293,18.0686,[URL],"Day 1, Day 2","Vasa Museum, Gamla Stan (Old Town), Archipelago Boat Tour"
Multicultural Metropolis,"Experience the diversity, CN Tower views, and distinct neighborhoods of Canada's largest city.",Visits,Toronto,Canada,43.6532,-79.3832,[URL],"Day 1, Day 2","CN Tower Observation Deck, St. Lawrence Market, Kensington Market"
Imperial Palaces & Music,"Discover the opulent palaces, classical music heritage, and coffee house culture.",Cultural,Vienna,Austria,48.2082,16.3738,[URL],"Day 1, Day 2","Schönbrunn Palace, St. Stephen's Cathedral, Attend a Classical Concert"